Municipio,Codigo ,Total
Normandia,  1 400 407 ,   13 986
Pacaraima,  1 400 456 ,   19 305
Rorainópolis,  1 400 472 ,   32 647
São João da Baliza,  1 400 506 ,   8 858
São Luiz,  1 400 605 ,   7 315
Uiramutã,  1 400 704 ,   13 751
Abaetetuba,  1 500 107 ,   158 188
Abel Figueiredo,  1 500 131 ,   6 136
Acará,  1 500 206 ,   59 023
Afuá,  1 500 305 ,   37 765
Água Azul do Norte,  1 500 347 ,   18 080
Alenquer,  1 500 404 ,   69 377
Almeirim,  1 500 503 ,   34 280
Altamira,  1 500 602 ,   126 279
Anajás,  1 500 701 ,   28 011
Ananindeua,  1 500 800 ,   478 778
Anapu,  1 500 859 ,   31 850
Augusto Corrêa,  1 500 909 ,   44 573
Aurora do Pará,  1 500 958 ,   23 774
Aveiro,  1 501 006 ,   18 290
Bagre,  1 501 105 ,   31 892
Baião,  1 501 204 ,   51 641
Bannach,  1 501 253 ,   4 031
Barcarena,  1 501 303 ,   126 650
Belém,  1 501 402 ,  1 303 403
Belterra,  1 501 451 ,   18 099
Benevides,  1 501 501 ,   63 567
Bom Jesus do Tocantins,  1 501 576 ,   18 005
Bonito,  1 501 600 ,   12 622
Bragança,  1 501 709 ,   123 082
Brasil Novo,  1 501 725 ,   24 718
Brejo Grande do Araguaia,  1 501 758 ,   6 783
Breu Branco,  1 501 782 ,   45 712
Breves,  1 501 808 ,   106 968
Bujaru,  1 501 907 ,   24 383
Cachoeira do Piriá,  1 501 956 ,   19 630
Cachoeira do Arari,  1 502 004 ,   23 981
Cametá,  1 502 103 ,   134 184
Canaã dos Carajás,  1 502 152 ,   77 079
Capanema,  1 502 202 ,   70 394
Capitão Poço,  1 502 301 ,   56 506
Castanhal,  1 502 400 ,   192 256
Chaves,  1 502 509 ,   20 757
Colares,  1 502 608 ,   12 868
Conceição do Araguaia,  1 502 707 ,   44 617
Concórdia do Pará,  1 502 756 ,   26 881
Cumaru do Norte,  1 502 764 ,   14 036
Curionópolis,  1 502 772 ,   19 950
Curralinho,  1 502 806 ,   33 903
Curuá,  1 502 855 ,   14 117
Curuçá,  1 502 905 ,   41 262
Dom Eliseu,  1 502 939 ,   58 484
Eldorado do Carajás,  1 502 954 ,   28 192
Faro,  1 503 002 ,   8 728
Floresta do Araguaia,  1 503 044 ,   17 898
Garrafão do Norte,  1 503 077 ,   24 703
Goianésia do Pará,  1 503 093 ,   26 362
Gurupá,  1 503 101 ,   31 786
Igarapé-Açu,  1 503 200 ,   35 797
Igarapé-Miri,  1 503 309 ,   64 831
Inhangapi,  1 503 408 ,   10 325
Ipixuna do Pará,  1 503 457 ,   30 329
Irituia,  1 503 507 ,   30 955
Itaituba,  1 503 606 ,   123 314
Itupiranga,  1 503 705 ,   49 754
Jacareacanga,  1 503 754 ,   24 042
Jacundá,  1 503 804 ,   37 707
Juruti,  1 503 903 ,   50 881
Limoeiro do Ajuru,  1 504 000 ,   29 569
Mãe do Rio,  1 504 059 ,   34 353
Magalhães Barata,  1 504 109 ,   8 115
Marabá,  1 504 208 ,   266 533
Maracanã,  1 504 307 ,   25 971
Marapanim,  1 504 406 ,   26 573
Marituba,  1 504 422 ,   111 785
Medicilândia,  1 504 455 ,   27 094
Melgaço,  1 504 505 ,   27 881
Mocajuba,  1 504 604 ,   27 198
Moju,  1 504 703 ,   84 094
Mojuí dos Campos,  1 504 752 ,   23 501
Monte Alegre,  1 504 802 ,   60 012
Muaná,  1 504 901 ,   45 368
Nova Esperança do Piriá,  1 504 950 ,   20 478
Nova Ipixuna,  1 504 976 ,   13 955
Nova Timboteua,  1 505 007 ,   12 806
Novo Progresso,  1 505 031 ,   33 638
Novo Repartimento,  1 505 064 ,   60 732
Óbidos,  1 505 106 ,   52 229
Oeiras do Pará,  1 505 205 ,   33 844
Oriximiná,  1 505 304 ,   68 294
Ourém,  1 505 403 ,   17 855
Ourilândia do Norte,  1 505 437 ,   32 467
Pacajá,  1 505 486 ,   41 097
Palestina do Pará,  1 505 494 ,   6 885
Paragominas,  1 505 502 ,   105 550
Parauapebas,  1 505 536 ,   267 836
Pau D'Arco,  1 505 551 ,   6 931
Peixe-Boi,  1 505 601 ,   8 285
Piçarra,  1 505 635 ,   12 832
Placas,  1 505 650 ,   18 668
Ponta de Pedras,  1 505 700 ,   24 984
Portel,  1 505 809 ,   62 503
Porto de Moz,  1 505 908 ,   40 597
Prainha,  1 506 005 ,   35 577
Primavera,  1 506 104 ,   10 851
Quatipuru,  1 506 112 ,   11 524
Redenção,  1 506 138 ,   85 597
Rio Maria,  1 506 161 ,   18 384
Rondon do Pará,  1 506 187 ,   53 143
Rurópolis,  1 506 195 ,   35 769
Salinópolis,  1 506 203 ,   44 772
Salvaterra,  1 506 302 ,   24 129
Santa Bárbara do Pará,  1 506 351 ,   21 087
Santa Cruz do Arari,  1 506 401 ,   7 445
Santa Izabel do Pará,  1 506 500 ,   73 019
Santa Luzia do Pará,  1 506 559 ,   20 370
Santa Maria das Barreiras,  1 506 583 ,   16 548
Santa Maria do Pará,  1 506 609 ,   24 624
Santana do Araguaia,  1 506 708 ,   32 413
Santarém,  1 506 807 ,   331 942
Santarém Novo,  1 506 906 ,   6 116
Santo Antônio do Tauá,  1 507 003 ,   27 461
São Caetano de Odivelas,  1 507 102 ,   16 666
São Domingos do Araguaia,  1 507 151 ,   21 092
São Domingos do Capim,  1 507 201 ,   30 599
São Félix do Xingu,  1 507 300 ,   65 418
São Francisco do Pará,  1 507 409 ,   14 894
São Geraldo do Araguaia,  1 507 458 ,   24 255
São João da Ponta,  1 507 466 ,   4 430
São João de Pirabas,  1 507 474 ,   20 689
São João do Araguaia,  1 507 508 ,   13 664
São Miguel do Guamá,  1 507 607 ,   52 894
São Sebastião da Boa Vista,  1 507 706 ,   25 643
Sapucaia,  1 507 755 ,   5 847
Senador José Porfírio,  1 507 805 ,   22 576
Soure,  1 507 904 ,   24 204
Tailândia,  1 507 953 ,   72 493
Terra Alta,  1 507 961 ,   10 400
Terra Santa,  1 507 979 ,   18 782
Tomé-Açu,  1 508 001 ,   67 585
Tracuateua,  1 508 035 ,   28 595
Trairão,  1 508 050 ,   15 242
Tucumã,  1 508 084 ,   39 550
Tucuruí,  1 508 100 ,   91 306
Ulianópolis,  1 508 126 ,   37 972
Uruará,  1 508 159 ,   43 558
Vigia,  1 508 209 ,   50 832
Viseu,  1 508 308 ,   58 692
Vitória do Xingu,  1 508 357 ,   15 607
Xinguara,  1 508 407 ,   52 893
Serra do Navio,  1 600 055 ,   4 673
Amapá,  1 600 105 ,   7 943
Pedra Branca do Amapari,  1 600 154 ,   12 847
Calçoene,  1 600 204 ,   10 612
Cutias,  1 600 212 ,   4 461
Ferreira Gomes,  1 600 238 ,   6 666
Itaubal,  1 600 253 ,   5 599
Laranjal do Jari,  1 600 279 ,   35 114
Macapá,  1 600 303 ,   442 933
Mazagão,  1 600 402 ,   21 924
Oiapoque,  1 600 501 ,   27 482
Porto Grande,  1 600 535 ,   17 848
Pracuúba,  1 600 550 ,   3 803
Santana,  1 600 600 ,   107 618
Tartarugalzinho,  1 600 709 ,   12 945
Vitória do Jari,  1 600 808 ,   11 291
Abreulândia,  1 700 251 ,   2 576
Aguiarnópolis,  1 700 301 ,   4 497
Aliança do Tocantins,  1 700 350 ,   5 147
Almas,  1 700 400 ,   6 499
Alvorada,  1 700 707 ,   8 802
Ananás,  1 701 002 ,   10 325
Angico,  1 701 051 ,   2 876
Aparecida do Rio Negro,  1 701 101 ,   4 856
Aragominas,  1 701 309 ,   5 290
Araguacema,  1 701 903 ,   5 927
Araguaçu,  1 702 000 ,   8 133
Araguaína,  1 702 109 ,   171 301
Araguanã,  1 702 158 ,   4 310
Araguatins,  1 702 208 ,   31 918
Arapoema,  1 702 307 ,   5 550
Arraias,  1 702 406 ,   10 287
Augustinópolis,  1 702 554 ,   17 484
Aurora do Tocantins,  1 702 703 ,   3 342
Axixá do Tocantins,  1 702 901 ,   10 262
Babaçulândia,  1 703 008 ,   7 880
Bandeirantes do Tocantins,  1 703 057 ,   3 407
Barra do Ouro,  1 703 073 ,   4 476
Barrolândia,  1 703 107 ,   4 846
Bernardo Sayão,  1 703 206 ,   4 229
Bom Jesus do Tocantins,  1 703 305 ,   4 038
Brasilândia do Tocantins,  1 703 602 ,   1 974
Brejinho de Nazaré,  1 703 701 ,   4 725
Buriti do Tocantins,  1 703 800 ,   10 307
Cachoeirinha,  1 703 826 ,   1 961
Campos Lindos,  1 703 842 ,   8 653
Cariri do Tocantins,  1 703 867 ,   4 007
Carmolândia,  1 703 883 ,   2 201
Carrasco Bonito,  1 703 891 ,   3 318
Caseara,  1 703 909 ,   4 847
Centenário,  1 704 105 ,   2 131
Chapada de Areia,  1 704 600 ,   1 501
Chapada da Natividade,  1 705 102 ,   3 117
Colinas do Tocantins,  1 705 508 ,   34 233
Combinado,  1 705 557 ,   4 756
Conceição do Tocantins,  1 705 607 ,   3 887
Couto Magalhães,  1 706 001 ,   5 331
Cristalândia,  1 706 100 ,   6 371
Crixás do Tocantins,  1 706 258 ,   1 470
Darcinópolis,  1 706 506 ,   5 827
Dianópolis,  1 707 009 ,   17 739
Divinópolis do Tocantins,  1 707 108 ,   7 024
Dois Irmãos do Tocantins,  1 707 207 ,   6 327
Dueré,  1 707 306 ,   4 248
Esperantina,  1 707 405 ,   7 530
Fátima,  1 707 553 ,   3 467
Figueirópolis,  1 707 652 ,   5 211
Filadélfia,  1 707 702 ,   7 712
Formoso do Araguaia,  1 708 205 ,   18 881
Tabocão,  1 708 254 ,   3 455
Goianorte,  1 708 304 ,   4 738
Goiatins,  1 709 005 ,   12 433
Guaraí,  1 709 302 ,   24 775
Gurupi,  1 709 500 ,   85 125
Ipueiras,  1 709 807 ,   1 590
Itacajá,  1 710 508 ,   6 819
Itaguatins,  1 710 706 ,   5 172
Itapiratins,  1 710 904 ,   3 577
Itaporã do Tocantins,  1 711 100 ,   2 404
Jaú do Tocantins,  1 711 506 ,   3 334
Juarina,  1 711 803 ,   2 243
Lagoa da Confusão,  1 711 902 ,   15 288
Lagoa do Tocantins,  1 711 951 ,   3 516
Lajeado,  1 712 009 ,   3 357
Lavandeira,  1 712 157 ,   1 626
Lizarda,  1 712 405 ,   2 999
Luzinópolis,  1 712 454 ,   2 717
Marianópolis do Tocantins,  1 712 504 ,   4 615
Mateiros,  1 712 702 ,   2 748
Maurilândia do Tocantins,  1 712 801 ,   3 095
Miracema do Tocantins,  1 713 205 ,   18 566
Miranorte,  1 713 304 ,   12 701
Monte do Carmo,  1 713 601 ,   5 694
Monte Santo do Tocantins,  1 713 700 ,   2 396
Palmeiras do Tocantins,  1 713 809 ,   4 872
Muricilândia,  1 713 957 ,   3 367
Natividade,  1 714 203 ,   8 754
Nazaré,  1 714 302 ,   4 521
