Municipio,Codigo ,Total
Prata,  2 512 200 ,   3 915
Princesa Isabel,  2 512 309 ,   21 114
Puxinanã,  2 512 408 ,   14 277
Queimadas,  2 512 507 ,   47 658
Quixaba,  2 512 606 ,   1 743
Remígio,  2 512 705 ,   17 885
Pedro Régis,  2 512 721 ,   5 766
Riachão,  2 512 747 ,   2 927
Riachão do Bacamarte,  2 512 754 ,   4 690
Riachão do Poço,  2 512 762 ,   4 738
Riacho de Santo Antônio,  2 512 788 ,   1 955
Riacho dos Cavalos,  2 512 804 ,   8 493
Rio Tinto,  2 512 903 ,   24 581
Salgadinho,  2 513 000 ,   3 355
Salgado de São Félix,  2 513 109 ,   11 505
Santa Cecília,  2 513 158 ,   7 670
Santa Cruz,  2 513 208 ,   5 947
Santa Helena,  2 513 307 ,   5 865
Santa Inês,  2 513 356 ,   3 227
Santa Luzia,  2 513 406 ,   14 959
Santana de Mangueira,  2 513 505 ,   5 010
Santana dos Garrotes,  2 513 604 ,   6 569
Joca Claudino,  2 513 653 ,   2 539
Santa Rita,  2 513 703 ,   149 910
Santa Teresinha,  2 513 802 ,   4 402
Santo André,  2 513 851 ,   2 622
São Bento,  2 513 901 ,   32 235
São Bentinho,  2 513 927 ,   4 327
São Domingos do Cariri,  2 513 943 ,   2 585
São Domingos,  2 513 968 ,   2 595
São Francisco,  2 513 984 ,   3 137
São João do Cariri,  2 514 008 ,   4 226
São João do Tigre,  2 514 107 ,   4 263
São José da Lagoa Tapada,  2 514 206 ,   7 126
São José de Caiana,  2 514 305 ,   5 034
São José de Espinharas,  2 514 404 ,   4 083
São José dos Ramos,  2 514 453 ,   5 891
São José de Piranhas,  2 514 503 ,   19 067
São José de Princesa,  2 514 552 ,   3 416
São José do Bonfim,  2 514 602 ,   3 242
São José do Brejo do Cruz,  2 514 651 ,   1 699
São José do Sabugi,  2 514 701 ,   4 138
São José dos Cordeiros,  2 514 800 ,   3 411
São Mamede,  2 514 909 ,   7 470
São Miguel de Taipu,  2 515 005 ,   7 066
São Sebastião de Lagoa de Roça,  2 515 104 ,   11 040
São Sebastião do Umbuzeiro,  2 515 203 ,   3 279
Sapé,  2 515 302 ,   51 306
São Vicente do Seridó,  2 515 401 ,   10 291
Serra Branca,  2 515 500 ,   13 614
Serra da Raiz,  2 515 609 ,   3 094
Serra Grande,  2 515 708 ,   2 942
Serra Redonda,  2 515 807 ,   6 828
Serraria,  2 515 906 ,   4 885
Sertãozinho,  2 515 930 ,   5 054
Sobrado,  2 515 971 ,   8 236
Solânea,  2 516 003 ,   26 774
Soledade,  2 516 102 ,   13 968
Sossêgo,  2 516 151 ,   3 345
Sousa,  2 516 201 ,   67 259
Sumé,  2 516 300 ,   17 166
Tacima,  2 516 409 ,   8 010
Taperoá,  2 516 508 ,   14 068
Tavares,  2 516 607 ,   14 101
Teixeira,  2 516 706 ,   14 631
Tenório,  2 516 755 ,   2 966
Triunfo,  2 516 805 ,   9 892
Uiraúna,  2 516 904 ,   14 930
Umbuzeiro,  2 517 001 ,   9 124
Várzea,  2 517 100 ,   2 668
Vieirópolis,  2 517 209 ,   4 864
Zabelê,  2 517 407 ,   2 228
Abreu e Lima,  2 600 054 ,   98 462
Afogados da Ingazeira,  2 600 104 ,   40 241
Afrânio,  2 600 203 ,   18 674
Agrestina,  2 600 302 ,   23 779
Água Preta,  2 600 401 ,   26 461
Águas Belas,  2 600 500 ,   41 548
Alagoinha,  2 600 609 ,   13 542
Aliança,  2 600 708 ,   35 741
Altinho,  2 600 807 ,   20 674
Amaraji,  2 600 906 ,   18 205
Angelim,  2 601 003 ,   10 241
Araçoiaba,  2 601 052 ,   19 243
Araripina,  2 601 102 ,   85 088
Arcoverde,  2 601 201 ,   77 742
Barra de Guabiraba,  2 601 300 ,   12 263
Barreiros,  2 601 409 ,   40 121
Belém de Maria,  2 601 508 ,   10 378
Belém do São Francisco,  2 601 607 ,   18 301
Belo Jardim,  2 601 706 ,   79 507
Betânia,  2 601 805 ,   11 232
Bezerros,  2 601 904 ,   61 694
Bodocó,  2 602 001 ,   34 478
Bom Conselho,  2 602 100 ,   44 294
Bom Jardim,  2 602 209 ,   37 629
Bonito,  2 602 308 ,   37 474
Brejão,  2 602 407 ,   9 079
Brejinho,  2 602 506 ,   7 720
Brejo da Madre de Deus,  2 602 605 ,   48 648
Buenos Aires,  2 602 704 ,   12 808
Buíque,  2 602 803 ,   52 097
Cabo de Santo Agostinho,  2 602 902 ,   203 440
Cabrobó,  2 603 009 ,   30 294
Cachoeirinha,  2 603 108 ,   19 899
Caetés,  2 603 207 ,   28 827
Calçado,  2 603 306 ,   11 093
Calumbi,  2 603 405 ,   5 228
Camaragibe,  2 603 454 ,   147 771
Camocim de São Félix,  2 603 504 ,   17 419
Camutanga,  2 603 603 ,   7 750
Canhotinho,  2 603 702 ,   24 329
Capoeiras,  2 603 801 ,   18 338
Carnaíba,  2 603 900 ,   18 644
Carnaubeira da Penha,  2 603 926 ,   12 239
Carpina,  2 604 007 ,   79 293
Caruaru,  2 604 106 ,   378 048
Casinhas,  2 604 155 ,   12 967
Catende,  2 604 205 ,   32 156
Cedro,  2 604 304 ,   10 518
Chã de Alegria,  2 604 403 ,   12 984
Chã Grande,  2 604 502 ,   20 546
Condado,  2 604 601 ,   24 587
Correntes,  2 604 700 ,   17 131
Cortês,  2 604 809 ,   10 198
Cumaru,  2 604 908 ,   15 920
Cupira,  2 605 004 ,   23 518
Custódia,  2 605 103 ,   37 699
Dormentes,  2 605 152 ,   17 188
Escada,  2 605 202 ,   59 891
Exu,  2 605 301 ,   31 843
Feira Nova,  2 605 400 ,   21 427
Fernando de Noronha,  2 605 459 ,   3 167
Ferreiros,  2 605 509 ,   15 026
Flores,  2 605 608 ,   20 347
Floresta,  2 605 707 ,   30 137
Frei Miguelinho,  2 605 806 ,   13 636
Gameleira,  2 605 905 ,   18 214
Garanhuns,  2 606 002 ,   142 506
Glória do Goitá,  2 606 101 ,   29 347
Goiana,  2 606 200 ,   81 055
Granito,  2 606 309 ,   6 967
Gravatá,  2 606 408 ,   86 516
Iati,  2 606 507 ,   17 165
Ibimirim,  2 606 606 ,   26 593
Ibirajuba,  2 606 705 ,   7 140
Igarassu,  2 606 804 ,   115 196
Iguaracy,  2 606 903 ,   11 081
Inajá,  2 607 000 ,   25 603
Ingazeira,  2 607 109 ,   4 765
Ipojuca,  2 607 208 ,   98 932
Ipubi,  2 607 307 ,   29 009
Itacuruba,  2 607 406 ,   4 284
Itaíba,  2 607 505 ,   32 650
Ilha de Itamaracá,  2 607 604 ,   24 540
Itambé,  2 607 653 ,   34 935
Itapetim,  2 607 703 ,   13 791
Itapissuma,  2 607 752 ,   27 749
Itaquitinga,  2 607 802 ,   16 554
Jaboatão dos Guararapes,  2 607 901 ,   644 037
Jaqueira,  2 607 950 ,   10 247
Jataúba,  2 608 008 ,   15 843
Jatobá,  2 608 057 ,   14 020
João Alfredo,  2 608 107 ,   27 725
Joaquim Nabuco,  2 608 206 ,   13 269
Jucati,  2 608 255 ,   11 517
Jupi,  2 608 305 ,   15 329
Jurema,  2 608 404 ,   13 648
Lagoa do Carro,  2 608 453 ,   17 981
Lagoa de Itaenga,  2 608 503 ,   19 003
Lagoa do Ouro,  2 608 602 ,   11 933
Lagoa dos Gatos,  2 608 701 ,   14 076
Lagoa Grande,  2 608 750 ,   24 088
Lajedo,  2 608 800 ,   39 582
Limoeiro,  2 608 909 ,   56 510
Macaparana,  2 609 006 ,   23 879
Machados,  2 609 105 ,   11 333
Manari,  2 609 154 ,   23 763
Maraial,  2 609 204 ,   9 359
Mirandiba,  2 609 303 ,   14 166
Moreno,  2 609 402 ,   55 292
Nazaré da Mata,  2 609 501 ,   30 648
Olinda,  2 609 600 ,   349 976
Orobó,  2 609 709 ,   21 808
Orocó,  2 609 808 ,   13 613
Ouricuri,  2 609 907 ,   65 245
Palmares,  2 610 004 ,   54 584
Palmeirina,  2 610 103 ,   7 031
Panelas,  2 610 202 ,   22 991
Paranatama,  2 610 301 ,   12 199
Parnamirim,  2 610 400 ,   18 612
Passira,  2 610 509 ,   28 340
Paudalho,  2 610 608 ,   56 665
Paulista,  2 610 707 ,   342 167
Pedra,  2 610 806 ,   22 795
Pesqueira,  2 610 905 ,   62 722
Petrolândia,  2 611 002 ,   34 161
Petrolina,  2 611 101 ,   386 791
Poção,  2 611 200 ,   10 500
Pombos,  2 611 309 ,   27 552
Primavera,  2 611 408 ,   13 838
Quipapá,  2 611 507 ,   17 928
Quixaba,  2 611 533 ,   6 554
Recife,  2 611 606 ,  1 488 920
Riacho das Almas,  2 611 705 ,   20 639
Ribeirão,  2 611 804 ,   33 507
Rio Formoso,  2 611 903 ,   20 009
Sairé,  2 612 000 ,   10 887
Salgadinho,  2 612 109 ,   5 727
Salgueiro,  2 612 208 ,   62 372
Saloá,  2 612 307 ,   13 836
Sanharó,  2 612 406 ,   18 624
Santa Cruz,  2 612 455 ,   13 841
Santa Cruz da Baixa Verde,  2 612 471 ,   11 567
Santa Cruz do Capibaribe,  2 612 505 ,   98 254
Santa Filomena,  2 612 554 ,   12 106
Santa Maria da Boa Vista,  2 612 604 ,   40 578
Santa Maria do Cambucá,  2 612 703 ,   14 013
Santa Terezinha,  2 612 802 ,   10 244
São Benedito do Sul,  2 612 901 ,   13 113
São Bento do Una,  2 613 008 ,   49 449
São Caitano,  2 613 107 ,   37 126
São João,  2 613 206 ,   23 837
São Joaquim do Monte,  2 613 305 ,   20 037
São José da Coroa Grande,  2 613 404 ,   18 825
São José do Belmonte,  2 613 503 ,   34 843
São José do Egito,  2 613 602 ,   31 004
São Lourenço da Mata,  2 613 701 ,   111 249
São Vicente Férrer,  2 613 800 ,   16 677
Serra Talhada,  2 613 909 ,   92 228
Serrita,  2 614 006 ,   18 207
Sertânia,  2 614 105 ,   32 811
Sirinhaém,  2 614 204 ,   37 596
Moreilândia,  2 614 303 ,   10 540
Solidão,  2 614 402 ,   5 210
Surubim,  2 614 501 ,   64 120
Tabira,  2 614 600 ,   27 681
Tacaimbó,  2 614 709 ,   13 738
Tacaratu,  2 614 808 ,   23 902
Tamandaré,  2 614 857 ,   23 561
Taquaritinga do Norte,  2 615 003 ,   24 736
Terezinha,  2 615 102 ,   6 513
Terra Nova,  2 615 201 ,   8 920
Timbaúba,  2 615 300 ,   46 147
Toritama,  2 615 409 ,   41 137
Tracunhaém,  2 615 508 ,   13 867
Trindade,  2 615 607 ,   30 321
Triunfo,  2 615 706 ,   14 705
Tupanatinga,  2 615 805 ,   26 937
Tuparetama,  2 615 904 ,   8 005
Venturosa,  2 616 001 ,   17 251
Verdejante,  2 616 100 ,   9 169
Vertente do Lério,  2 616 183 ,   7 558
Vertentes,  2 616 209 ,   21 959
Vicência,  2 616 308 ,   26 359
Vitória de Santo Antão,  2 616 407 ,   134 084
Xexéu,  2 616 506 ,   11 611
Água Branca,  2 700 102 ,   19 008
Anadia,  2 700 201 ,   13 966
Arapiraca,  2 700 300 ,   234 696
Atalaia,  2 700 409 ,   37 512
Barra de Santo Antônio,  2 700 508 ,   16 365
Barra de São Miguel,  2 700 607 ,   7 944
Batalha,  2 700 706 ,   16 448
Belém,  2 700 805 ,   4 722
Belo Monte,  2 700 904 ,   5 936
Boca da Mata,  2 701 001 ,   21 187
Branquinha,  2 701 100 ,   9 603
Cacimbinhas,  2 701 209 ,   10 482
Cajueiro,  2 701 308 ,   16 024
Campestre,  2 701 357 ,   6 665
Campo Alegre,  2 701 407 ,   32 106
Campo Grande,  2 701 506 ,   8 143
Canapi,  2 701 605 ,   15 559
Capela,  2 701 704 ,   15 032
Carneiros,  2 701 803 ,   8 999
Chã Preta,  2 701 902 ,   5 910
Coité do Nóia,  2 702 009 ,   10 810
Colônia Leopoldina,  2 702 108 ,   15 816
Coqueiro Seco,  2 702 207 ,   5 581
Coruripe,  2 702 306 ,   50 414
Craíbas,  2 702 355 ,   25 397
Delmiro Gouveia,  2 702 405 ,   51 318
Dois Riachos,  2 702 504 ,   9 805
Estrela de Alagoas,  2 702 553 ,   15 429
Feira Grande,  2 702 603 ,   22 712
Feliz Deserto,  2 702 702 ,   3 963
Flexeiras,  2 702 801 ,   9 618
Girau do Ponciano,  2 702 900 ,   36 102
Ibateguara,  2 703 007 ,   13 731
Igaci,  2 703 106 ,   23 995
Igreja Nova,  2 703 205 ,   21 372
Inhapi,  2 703 304 ,   15 167
Jacaré dos Homens,  2 703 403 ,   5 083
Jacuípe,  2 703 502 ,   5 352
Japaratinga,  2 703 601 ,   9 219
Jaramataia,  2 703 700 ,   4 985
Jequiá da Praia,  2 703 759 ,   9 470
Joaquim Gomes,  2 703 809 ,   17 150
Jundiá,  2 703 908 ,   4 092
Junqueiro,  2 704 005 ,   23 907
Lagoa da Canoa,  2 704 104 ,   18 457
Limoeiro de Anadia,  2 704 203 ,   24 740
Maceió,  2 704 302 ,   957 916
Major Isidoro,  2 704 401 ,   17 700
Maragogi,  2 704 500 ,   32 174
Maravilha,  2 704 609 ,   9 534
Marechal Deodoro,  2 704 708 ,   60 370
Maribondo,  2 704 807 ,   13 679
Mar Vermelho,  2 704 906 ,   3 155
Mata Grande,  2 705 002 ,   21 844
Matriz de Camaragibe,  2 705 101 ,   23 857
Messias,  2 705 200 ,   15 405
Minador do Negrão,  2 705 309 ,   4 845
Monteirópolis,  2 705 408 ,   7 184
Murici,  2 705 507 ,   25 187
Novo Lino,  2 705 606 ,   10 020
Olho d'Água das Flores,  2 705 705 ,   20 695
Olho d'Água do Casado,  2 705 804 ,   8 349
Olho d'Água Grande,  2 705 903 ,   4 330
Olivença,  2 706 000 ,   10 812
Ouro Branco,  2 706 109 ,   11 446
Palestina,  2 706 208 ,   4 325
Palmeira dos Índios,  2 706 307 ,   71 574
Pão de Açúcar,  2 706 406 ,   23 823
Pariconha,  2 706 422 ,   10 573
Paripueira,  2 706 448 ,   13 835
Passo de Camaragibe,  2 706 505 ,   13 804
Paulo Jacinto,  2 706 604 ,   6 576
Penedo,  2 706 703 ,   58 650
Piaçabuçu,  2 706 802 ,   15 908
Pilar,  2 706 901 ,   35 370
Pindoba,  2 707 008 ,   2 731
Piranhas,  2 707 107 ,   22 609
Poço das Trincheiras,  2 707 206 ,   12 518
Porto Calvo,  2 707 305 ,   24 071
Porto de Pedras,  2 707 404 ,   9 295
Porto Real do Colégio,  2 707 503 ,   20 082
Quebrangulo,  2 707 602 ,   11 080
Rio Largo,  2 707 701 ,   93 927
Roteiro,  2 707 800 ,   6 474
Santa Luzia do Norte,  2 707 909 ,   6 919
Santana do Ipanema,  2 708 006 ,   46 220
Santana do Mundaú,  2 708 105 ,   11 323
São Brás,  2 708 204 ,   6 555
São José da Laje,  2 708 303 ,   20 813
São José da Tapera,  2 708 402 ,   30 604
São Luís do Quitunde,  2 708 501 ,   30 873
São Miguel dos Campos,  2 708 600 ,   51 990
São Miguel dos Milagres,  2 708 709 ,   8 482
São Sebastião,  2 708 808 ,   31 786
Satuba,  2 708 907 ,   24 278
Senador Rui Palmeira,  2 708 956 ,   12 303
Tanque d'Arca,  2 709 004 ,   5 796
Taquarana,  2 709 103 ,   19 032
Teotônio Vilela,  2 709 152 ,   38 053
Traipu,  2 709 202 ,   23 565
União dos Palmares,  2 709 301 ,   59 280
Viçosa,  2 709 400 ,   24 092
Amparo do São Francisco,  2 800 100 ,   2 170
Aquidabã,  2 800 209 ,   20 131
Aracaju,  2 800 308 ,   602 757
Arauá,  2 800 407 ,   10 318
Areia Branca,  2 800 506 ,   18 081
Barra dos Coqueiros,  2 800 605 ,   41 511
Boquim,  2 800 670 ,   24 636
Brejo Grande,  2 800 704 ,   7 841
Campo do Brito,  2 801 009 ,   18 149
Canhoba,  2 801 108 ,   3 791
Canindé de São Francisco,  2 801 207 ,   26 834
Capela,  2 801 306 ,   31 645
Carira,  2 801 405 ,   19 939
Carmópolis,  2 801 504 ,   13 853
Cedro de São João,  2 801 603 ,   5 391
Cristinápolis,  2 801 702 ,   17 100
Cumbe,  2 801 900 ,   3 824
Divina Pastora,  2 802 007 ,   4 340
Estância,  2 802 106 ,   65 078
Feira Nova,  2 802 205 ,   5 975
Frei Paulo,  2 802 304 ,   14 530
Gararu,  2 802 403 ,   11 096
General Maynard,  2 802 502 ,   3 037
Gracho Cardoso,  2 802 601 ,   5 834
Ilha das Flores,  2 802 700 ,   8 321
Indiaroba,  2 802 809 ,   16 549
Itabaiana,  2 802 908 ,   103 440
Itabaianinha,  2 803 005 ,   40 678
Itabi,  2 803 104 ,   4 745
Itaporanga d'Ajuda,  2 803 203 ,   34 411
Japaratuba,  2 803 302 ,   16 209
Japoatã,  2 803 401 ,   13 407
Lagarto,  2 803 500 ,   101 579
Laranjeiras,  2 803 609 ,   23 975
Macambira,  2 803 708 ,   6 838
Malhada dos Bois,  2 803 807 ,   3 579
Malhador,  2 803 906 ,   11 533
Maruim,  2 804 003 ,   15 719
Moita Bonita,  2 804 102 ,   11 050
Monte Alegre de Sergipe,  2 804 201 ,   14 336
Muribeca,  2 804 300 ,   7 822
Neópolis,  2 804 409 ,   16 426
Nossa Senhora Aparecida,  2 804 458 ,   9 232
Nossa Senhora da Glória,  2 804 508 ,   41 212
Nossa Senhora das Dores,  2 804 607 ,   24 996
Nossa Senhora de Lourdes,  2 804 706 ,   6 268
Nossa Senhora do Socorro,  2 804 805 ,   192 330
Pacatuba,  2 804 904 ,   12 502
Pedra Mole,  2 805 000 ,   2 778
Pedrinhas,  2 805 109 ,   7 396
Pinhão,  2 805 208 ,   5 677
Pirambu,  2 805 307 ,   7 913
Poço Redondo,  2 805 406 ,   33 439
Poço Verde,  2 805 505 ,   21 794
Porto da Folha,  2 805 604 ,   26 576
Propriá,  2 805 703 ,   26 618
Riachão do Dantas,  2 805 802 ,   18 313
Riachuelo,  2 805 901 ,   8 748
Ribeirópolis,  2 806 008 ,   17 033
Rosário do Catete,  2 806 107 ,   9 295
Salgado,  2 806 206 ,   20 279
Santa Luzia do Itanhy,  2 806 305 ,   13 616
Santana do São Francisco,  2 806 404 ,   7 346
Santa Rosa de Lima,  2 806 503 ,   3 937
Santo Amaro das Brotas,  2 806 602 ,   11 092
São Cristóvão,  2 806 701 ,   95 612
São Domingos,  2 806 800 ,   10 327
São Francisco,  2 806 909 ,   3 243
São Miguel do Aleixo,  2 807 006 ,   3 434
Simão Dias,  2 807 105 ,   42 578
Siriri,  2 807 204 ,   7 834
Telha,  2 807 303 ,   3 274
Tobias Barreto,  2 807 402 ,   50 905
Tomar do Geru,  2 807 501 ,   12 012
Umbaúba,  2 807 600 ,   23 917
Abaíra,  2 900 108 ,   7 301
Abaré,  2 900 207 ,   17 639
Acajutiba,  2 900 306 ,   13 795
Adustina,  2 900 355 ,   14 201
Água Fria,  2 900 405 ,   14 497
Érico Cardoso,  2 900 504 ,   10 604
Aiquara,  2 900 603 ,   4 447
Alagoinhas,  2 900 702 ,   151 055
Alcobaça,  2 900 801 ,   24 530
Almadina,  2 900 900 ,   5 218
Amargosa,  2 901 007 ,   36 521
Amélia Rodrigues,  2 901 106 ,   24 138
América Dourada,  2 901 155 ,   15 137
Anagé,  2 901 205 ,   25 438
Andaraí,  2 901 304 ,   13 080
Andorinha,  2 901 353 ,   15 012
Angical,  2 901 403 ,   13 732
Anguera,  2 901 502 ,   11 031
Antas,  2 901 601 ,   14 206
Antônio Cardoso,  2 901 700 ,   11 146
Antônio Gonçalves,  2 901 809 ,   10 862
Aporá,  2 901 908 ,   15 922
Apuarema,  2 901 957 ,   6 913
Aracatu,  2 902 005 ,   13 936
Araçás,  2 902 054 ,   11 557
Araci,  2 902 104 ,   48 294
Aramari,  2 902 203 ,   9 833
Arataca,  2 902 252 ,   10 191
Aratuípe,  2 902 302 ,   8 677
Aurelino Leal,  2 902 401 ,   11 179
Baianópolis,  2 902 500 ,   13 614
Baixa Grande,  2 902 609 ,   18 220
Banzaê,  2 902 658 ,   11 958
Barra,  2 902 708 ,   51 092
Barra da Estiva,  2 902 807 ,   26 026
Barra do Choça,  2 902 906 ,   36 539
Barra do Mendes,  2 903 003 ,   13 836
Barra do Rocha,  2 903 102 ,   5 775
Barreiras,  2 903 201 ,   159 734
Barro Alto,  2 903 235 ,   13 453
Barrocas,  2 903 276 ,   15 203
Barro Preto,  2 903 300 ,   5 833
Belmonte,  2 903 409 ,   20 121
Belo Campo,  2 903 508 ,   18 412
Biritinga,  2 903 607 ,   15 146
Boa Nova,  2 903 706 ,   13 690
Boa Vista do Tupim,  2 903 805 ,   16 873
Bom Jesus da Lapa,  2 903 904 ,   65 550
Bom Jesus da Serra,  2 903 953 ,   9 730
Boninal,  2 904 001 ,   13 622
Bonito,  2 904 050 ,   15 844
Boquira,  2 904 100 ,   19 322
Botuporã,  2 904 209 ,   11 024
Brejões,  2 904 308 ,   12 943
Brejolândia,  2 904 407 ,   9 108
Brotas de Macaúbas,  2 904 506 ,   11 765
Brumado,  2 904 605 ,   70 510
Buerarema,  2 904 704 ,   14 804
Buritirama,  2 904 753 ,   19 589
Caatiba,  2 904 803 ,   6 205
Cabaceiras do Paraguaçu,  2 904 852 ,   16 559
Cachoeira,  2 904 902 ,   29 250
Caculé,  2 905 008 ,   22 462
Caém,  2 905 107 ,   10 384
Caetanos,  2 905 156 ,   11 266
Caetité,  2 905 206 ,   52 012
Cafarnaum,  2 905 305 ,   17 466
Cairu,  2 905 404 ,   17 761
Caldeirão Grande,  2 905 503 ,   13 080
Camacan,  2 905 602 ,   22 579
Camaçari,  2 905 701 ,   300 372
Camamu,  2 905 800 ,   30 469
Campo Alegre de Lourdes,  2 905 909 ,   30 671
Campo Formoso,  2 906 006 ,   71 377
Canápolis,  2 906 105 ,   10 225
Canarana,  2 906 204 ,   24 206
Canavieiras,  2 906 303 ,   32 683
Candeal,  2 906 402 ,   7 772
Candeias,  2 906 501 ,   72 382
Candiba,  2 906 600 ,   13 016
Cândido Sales,  2 906 709 ,   25 247
Cansanção,  2 906 808 ,   37 439
Canudos,  2 906 824 ,   16 105
Capela do Alto Alegre,  2 906 857 ,   10 744
Capim Grosso,  2 906 873 ,   33 235
Caraíbas,  2 906 899 ,   9 940
Caravelas,  2 906 907 ,   20 580
Cardeal da Silva,  2 907 004 ,   8 365
Carinhanha,  2 907 103 ,   28 869
Casa Nova,  2 907 202 ,   72 086
Castro Alves,  2 907 301 ,   24 712
Catolândia,  2 907 400 ,   3 434
Catu,  2 907 509 ,   48 148
Caturama,  2 907 558 ,   8 841
Central,  2 907 608 ,   16 348
Chorrochó,  2 907 707 ,   10 579
Cícero Dantas,  2 907 806 ,   30 907
Cipó,  2 907 905 ,   17 230
Coaraci,  2 908 002 ,   17 333
Cocos,  2 908 101 ,   19 151
Conceição da Feira,  2 908 200 ,   20 800
Conceição do Almeida,  2 908 309 ,   15 794
Conceição do Coité,  2 908 408 ,   67 825
Conceição do Jacuípe,  2 908 507 ,   35 308
Conde,  2 908 606 ,   23 654
Condeúba,  2 908 705 ,   17 053
Contendas do Sincorá,  2 908 804 ,   4 333
Coração de Maria,  2 908 903 ,   26 692
Cordeiros,  2 909 000 ,   7 546
Coribe,  2 909 109 ,   13 990
Coronel João Sá,  2 909 208 ,   17 056
Correntina,  2 909 307 ,   32 457
Cotegipe,  2 909 406 ,   13 063
Cravolândia,  2 909 505 ,   4 415
Crisópolis,  2 909 604 ,   19 729
Cristópolis,  2 909 703 ,   13 993
Cruz das Almas,  2 909 802 ,   60 348
Curaçá,  2 909 901 ,   34 180
Dário Meira,  2 910 008 ,   10 820
Dias d'Ávila,  2 910 057 ,   71 485
Dom Basílio,  2 910 107 ,   11 884
Dom Macedo Costa,  2 910 206 ,   4 407
Elísio Medrado,  2 910 305 ,   7 808
Encruzilhada,  2 910 404 ,   19 107
Entre Rios,  2 910 503 ,   38 098
Esplanada,  2 910 602 ,   32 554
Euclides da Cunha,  2 910 701 ,   61 456
Eunápolis,  2 910 727 ,   113 710
Fátima,  2 910 750 ,   17 895
Feira da Mata,  2 910 776 ,   5 631
Feira de Santana,  2 910 800 ,   616 272
Filadélfia,  2 910 859 ,   17 897
Firmino Alves,  2 910 909 ,   4 873
Floresta Azul,  2 911 006 ,   11 059
Formosa do Rio Preto,  2 911 105 ,   25 899
Gandu,  2 911 204 ,   32 178
Gavião,  2 911 253 ,   4 360
Gentio do Ouro,  2 911 303 ,   10 884
Glória,  2 911 402 ,   15 524
Gongogi,  2 911 501 ,   5 555
Governador Mangabeira,  2 911 600 ,   20 605
Guajeru,  2 911 659 ,   8 050
Guanambi,  2 911 709 ,   87 817
Guaratinga,  2 911 808 ,   19 049
Heliópolis,  2 911 857 ,   12 309
Iaçu,  2 911 907 ,   24 607
Ibiassucê,  2 912 004 ,   10 429
Ibicaraí,  2 912 103 ,   21 665
Ibicoara,  2 912 202 ,   20 785
Ibicuí,  2 912 301 ,   13 934
Ibipeba,  2 912 400 ,   16 603
Ibipitanga,  2 912 509 ,   13 863
Ibiquera,  2 912 608 ,   3 725
Ibirapitanga,  2 912 707 ,   25 344
Ibirapuã,  2 912 806 ,   8 896
Ibirataia,  2 912 905 ,   18 792
Ibitiara,  2 913 002 ,   14 637
Ibititá,  2 913 101 ,   16 969
Ibotirama,  2 913 200 ,   26 309
Ichu,  2 913 309 ,   6 190
Igaporã,  2 913 408 ,   15 527
Igrapiúna,  2 913 457 ,   13 151
Iguaí,  2 913 507 ,   21 491
Ilhéus,  2 913 606 ,   178 649
Inhambupe,  2 913 705 ,   33 790
Ipecaetá,  2 913 804 ,   13 709
Ipiaú,  2 913 903 ,   40 706
Ipirá,  2 914 000 ,   56 876
Ipupiara,  2 914 109 ,   9 935
Irajuba,  2 914 208 ,   6 101
Iramaia,  2 914 307 ,   10 752
Iraquara,  2 914 406 ,   23 879
Irará,  2 914 505 ,   28 043
Irecê,  2 914 604 ,   74 507
Itabela,  2 914 653 ,   28 165
Itaberaba,  2 914 703 ,   65 073
Itabuna,  2 914 802 ,   186 708
Itacaré,  2 914 901 ,   27 704
Itaeté,  2 915 007 ,   13 472
Itagi,  2 915 106 ,   13 803
Itagibá,  2 915 205 ,   15 310
Itagimirim,  2 915 304 ,   6 347
Itaguaçu da Bahia,  2 915 353 ,   12 311
Itaju do Colônia,  2 915 403 ,   6 037
Itajuípe,  2 915 502 ,   18 781
Itamaraju,  2 915 601 ,   59 605
Itamari,  2 915 700 ,   7 051
Itambé,  2 915 809 ,   24 394
Itanagra,  2 915 908 ,   5 914
Itanhém,  2 916 005 ,   17 813
Itaparica,  2 916 104 ,   19 789
Itapé,  2 916 203 ,   10 341
Itapebi,  2 916 302 ,   9 174
Itapetinga,  2 916 401 ,   65 897
Itapicuru,  2 916 500 ,   31 679
Itapitanga,  2 916 609 ,   10 279
Itaquara,  2 916 708 ,   8 153
Itarantim,  2 916 807 ,   17 052
Itatim,  2 916 856 ,   15 737
Itiruçu,  2 916 906 ,   10 999
Itiúba,  2 917 003 ,   33 872
Itororó,  2 917 102 ,   16 617
Ituaçu,  2 917 201 ,   17 914
Ituberá,  2 917 300 ,   21 902
Iuiu,  2 917 334 ,   11 118
Jaborandi,  2 917 359 ,   9 275
Jacaraci,  2 917 409 ,   14 436
Jacobina,  2 917 508 ,   82 590
Jaguaquara,  2 917 607 ,   45 964
Jaguarari,  2 917 706 ,   32 703
Jaguaripe,  2 917 805 ,   17 659
Jandaíra,  2 917 904 ,   9 285
Jequié,  2 918 001 ,   158 813
Jeremoabo,  2 918 100 ,   37 626
Jiquiriçá,  2 918 209 ,   13 629
Jitaúna,  2 918 308 ,   14 355
João Dourado,  2 918 357 ,   24 854
Juazeiro,  2 918 407 ,   237 821
Jucuruçu,  2 918 456 ,   9 655
Jussara,  2 918 506 ,   16 354
Jussari,  2 918 555 ,   5 888
